booking_id,inquiry_id,booked_at,scheduled_at,status
B0001,I0002,2026-08-29T20:43:20.103696+00:00,2026-09-07T20:43:20.103696+00:00,completed
B0002,I0003,2026-07-18T03:22:17.536964+00:00,2026-07-19T03:22:17.536964+00:00,completed
B0003,I0004,2026-08-31T22:27:35.101133+00:00,2026-09-02T22:27:35.101133+00:00,completed
B0004,I0007,2026-08-20T17:44:02.739501+00:00,2026-08-24T17:44:02.739501+00:00,cancelled
B0005,I0008,2026-08-04T17:38:56.706681+00:00,2026-08-06T17:38:56.706681+00:00,completed
B0006,I0010,2026-09-01T01:00:59.886777+00:00,2026-09-07T01:00:59.886777+00:00,completed
B0007,I0012,2026-08-05T09:22:10.488512+00:00,2026-08-10T09:22:10.488512+00:00,completed
B0008,I0013,2026-09-19T05:16:55.639853+00:00,2026-09-20T05:16:55.639853+00:00,cancelled
B0009,I0016,2026-06-30T23:24:08.348721+00:00,2026-07-02T23:24:08.348721+00:00,completed
B0010,I0026,2026-07-10T20:18:18.208485+00:00,2026-07-12T20:18:18.208485+00:00,completed
B0011,I0029,2026-08-21T11:01:07.174152+00:00,2026-08-28T11:01:07.174152+00:00,completed
B0012,I0030,2026-08-12T02:26:37.254817+00:00,2026-08-18T02:26:37.254817+00:00,cancelled
B0013,I0031,2026-07-10T08:39:59.064535+00:00,2026-07-12T08:39:59.064535+00:00,completed
B0014,I0032,2026-09-16T03:52:01.201826+00:00,2026-09-20T03:52:01.201826+00:00,completed
B0015,I0033,2026-08-13T18:58:36.300297+00:00,2026-08-21T18:58:36.300297+00:00,completed
B0016,I0034,2026-09-04T21:08:56.186981+00:00,2026-09-05T21:08:56.186981+00:00,completed
B0017,I0037,2026-08-30T06:50:29.461199+00:00,2026-09-01T06:50:29.461199+00:00,completed
B0018,I0038,2026-08-20T05:20:47.255747+00:00,2026-08-25T05:20:47.255747+00:00,completed
B0019,I0042,2026-08-25T13:02:36.596934+00:00,2026-08-27T13:02:36.596934+00:00,cancelled
B0020,I0043,2026-07-12T17:52:23.801411+00:00,2026-07-18T17:52:23.801411+00:00,completed
B0021,I0044,2026-09-15T17:25:03.006504+00:00,2026-09-20T17:25:03.006504+00:00,completed
B0022,I0046,2026-08-20T18:05:37.501163+00:00,2026-08-26T18:05:37.501163+00:00,completed
