job_id,booking_id,completed_at,revenue_usd
J0001,B0001,2026-09-07T22:43:20.103696+00:00,341.00
J0002,B0002,2026-07-19T05:22:17.536964+00:00,290.00
J0003,B0003,2026-09-03T00:27:35.101133+00:00,254.00
J0004,B0005,2026-08-06T19:38:56.706681+00:00,291.00
J0005,B0006,2026-09-07T03:00:59.886777+00:00,278.00
J0006,B0007,2026-08-10T11:22:10.488512+00:00,324.00
J0007,B0009,2026-07-03T01:24:08.348721+00:00,150.00
J0008,B0010,2026-07-12T22:18:18.208485+00:00,137.00
J0009,B0011,2026-08-28T13:01:07.174152+00:00,182.00
J0010,B0013,2026-07-12T10:39:59.064535+00:00,240.00
J0011,B0014,2026-09-20T05:52:01.201826+00:00,192.00
J0012,B0015,2026-08-21T20:58:36.300297+00:00,299.00
J0013,B0016,2026-09-05T23:08:56.186981+00:00,339.00
J0014,B0017,2026-09-01T08:50:29.461199+00:00,284.00
J0015,B0018,2026-08-25T07:20:47.255747+00:00,328.00
J0016,B0020,2026-07-18T19:52:23.801411+00:00,211.00
J0017,B0021,2026-09-20T19:25:03.006504+00:00,252.00
J0018,B0022,2026-08-26T20:05:37.501163+00:00,148.00
J0019,B0023,2026-09-06T20:05:37.501163+00:00,169.00
J0020,B0027,2026-07-30T17:37:16.791593+00:00,275.00
J0021,B0028,2026-08-07T20:41:30.147148+00:00,230.00
J0022,B0029,2026-08-24T13:12:07.375761+00:00,246.00
J0023,B0031,2026-08-13T22:58:07.489663+00:00,270.00
J0024,B0032,2026-09-09T13:14:20.920193+00:00,201.00
J0025,B0033,2026-07-31T01:00:42.130150+00:00,306.00
J0026,B0034,2026-08-06T01:00:42.130150+00:00,310.00
J0027,B0036,2026-08-14T09:56:12.212728+00:00,319.00
J0028,B0037,2026-09-03T04:47:52.322784+00:00,243.00
J0029,B0038,2026-08-10T22:18:42.964931+00:00,220.00
J0030,B0039,2026-08-12T01:53:40.811852+00:00,301.00
J0031,B0040,2026-08-23T06:10:49.031981+00:00,230.00
J0032,B0041,2026-07-24T15:54:09.593958+00:00,264.00
J0033,B0042,2026-08-19T15:05:05.482482+00:00,269.00
J0034,B0043,2026-08-10T20:54:10.630078+00:00,286.00
J0035,B0044,2026-09-09T16:00:32.573717+00:00,300.00
J0036,B0045,2026-09-05T00:59:35.087053+00:00,344.00
J0037,B0046,2026-08-10T15:28:20.480691+00:00,302.00
J0038,B0047,2026-08-16T15:28:20.480691+00:00,294.00
J0039,B0048,2026-08-04T05:03:24.754236+00:00,367.00
J0040,B0049,2026-08-26T14:31:52.964488+00:00,135.00
J0041,B0050,2026-09-16T19:31:04.570648+00:00,349.00
J0042,B0051,2026-07-06T21:14:15.840533+00:00,292.00
J0043,B0052,2026-07-07T19:17:17.876655+00:00,350.00
J0044,B0053,2026-08-25T20:35:11.595350+00:00,151.00
J0045,B0055,2026-09-20T04:57:23.168836+00:00,213.00
J0046,B0056,2026-07-20T18:19:41.313182+00:00,298.00
J0047,B0058,2026-08-04T01:48:34.197726+00:00,227.00
J0048,B0060,2026-08-31T17:22:13.388253+00:00,329.00
J0049,B0061,2026-08-10T07:12:09.963472+00:00,274.00
J0050,B0062,2026-09-18T15:39:06.454102+00:00,250.00
J0051,B0063,2026-07-17T15:11:18.945947+00:00,182.00
J0052,B0066,2026-08-04T14:27:00.587812+00:00,258.00
J0053,B0067,2026-07-11T05:27:37.391646+00:00,294.00
J0054,B0068,2026-08-27T01:12:45.139217+00:00,326.00
J0055,B0069,2026-09-06T01:12:45.139217+00:00,363.00
J0056,B0070,2026-07-18T10:02:40.255031+00:00,326.00
J0057,B0072,2026-09-05T04:45:50.907754+00:00,225.00
J0058,B0074,2026-09-02T11:21:41.688049+00:00,240.00
J0059,B0075,2026-07-11T00:51:16.374689+00:00,296.00
J0060,B0076,2026-08-03T03:15:17.764078+00:00,284.00
J0061,B0077,2026-08-31T15:07:20.871749+00:00,146.00
J0062,B0078,2026-08-25T11:26:00.389270+00:00,292.00
J0063,B0079,2026-07-12T02:51:04.947009+00:00,220.00
J0064,B0081,2026-07-26T02:57:16.947188+00:00,215.00
J0065,B0082,2026-07-30T14:02:05.080835+00:00,224.00
J0066,B0085,2026-09-05T18:03:32.534196+00:00,173.00
J0067,B0086,2026-09-01T00:34:37.539305+00:00,248.00
J0068,B0087,2026-08-19T23:30:49.106836+00:00,240.00
J0069,B0088,2026-08-03T17:00:23.947014+00:00,349.00
J0070,B0089,2026-08-19T17:27:21.096248+00:00,321.00
J0071,B0090,2026-08-05T14:10:40.463503+00:00,229.00
J0072,B0091,2026-08-04T12:26:08.776725+00:00,353.00
J0073,B0092,2026-08-16T04:26:37.723927+00:00,278.00
J0074,B0093,2026-08-20T05:52:48.309486+00:00,217.00
J0075,B0094,2026-08-10T09:06:33.929415+00:00,200.00
J0076,B0095,2026-09-17T16:12:35.018109+00:00,137.00
J0077,B0097,2026-07-20T19:17:44.623419+00:00,316.00
J0078,B0098,2026-07-31T19:23:52.809259+00:00,238.00
J0079,B0099,2026-09-13T15:02:20.873489+00:00,289.00
J0080,B0100,2026-07-22T15:33:01.870723+00:00,362.00
J0081,B0105,2026-09-17T15:06:13.881335+00:00,270.00
J0082,B0107,2026-09-02T02:42:09.687972+00:00,237.00
J0083,B0109,2026-07-07T18:42:34.128685+00:00,254.00
J0084,B0110,2026-07-27T05:19:27.794904+00:00,374.00
J0085,B0112,2026-07-08T04:47:37.055967+00:00,177.00
J0086,B0113,2026-07-23T20:00:39.784776+00:00,287.00
J0087,B0115,2026-08-24T03:40:06.563591+00:00,259.00
J0088,B0116,2026-07-21T23:27:49.918602+00:00,325.00
J0089,B0119,2026-09-06T06:30:16.391947+00:00,300.00
